time,ACx,ACy,ACz,encoder1,encoder2
0.1,-16,8,241,146,106
0.2,-19,6,246,146,106
0.3,-17,-1,241,146,106
0.4,-17,-4,241,146,106
0.5,-20,-2,242,146,106
0.6,-16,4,240,146,106
0.7,-16,2,241,146,106
0.8,-16,1,242,146,106
0.9,-12,-2,241,146,106
1,-13,6,241,146,106
1.1,-13,36,256,146,106
1.2,-27,-4,249,146,106
1.3,-22,-7,239,146,106
1.4,-17,-3,241,146,106
1.5,-18,5,241,146,106
1.6,-18,5,241,146,106
1.7,-25,-27,243,146,106
1.8,-22,2,240,146,106
1.9,-18,14,242,146,106
2,-5,-3,241,146,106
2.1,-15,29,240,146,106
2.2,-13,-3,243,146,106
2.3,-37,-34,243,146,106
2.4,-34,-56,241,146,106
2.5,-20,15,246,146,106
2.6,-15,45,237,147,106
2.7,21,40,256,147,106
2.8,-34,-1,248,147,106
2.9,-19,-6,242,147,106
3,-18,-6,240,147,106
3.1,-11,5,239,147,106
3.2,-17,1,241,147,106
3.3,-18,1,245,147,106
3.4,-15,4,241,147,106
3.5,-15,15,264,147,106
3.6,-20,-1,239,147,106
3.7,-16,2,242,147,106
3.8,-17,3,241,147,106
3.9,-18,2,241,147,106
4,-16,3,241,147,106
4.1,-17,4,240,147,106
4.2,-18,1,242,147,106
4.3,-7,12,247,147,106
4.4,-19,11,238,147,106
4.5,-20,9,234,147,106
4.6,-2,0,237,147,106
4.7,3,-10,247,147,106
4.8,-6,4,237,147,106
4.9,-13,4,247,147,106
5,-19,-27,254,147,106
5.1,7,-53,207,147,106
5.2,-71,37,282,147,106
5.3,-56,44,215,147,106
5.4,0,19,256,147,106
5.5,-49,35,223,147,106
5.6,-20,5,240,147,106
5.7,-56,-6,220,147,106
5.8,-4,7,295,147,106
5.9,-28,14,227,147,106
6,-33,3,233,147,106
6.1,-61,15,233,147,106
6.2,-13,17,234,147,106
6.3,-53,-23,216,147,106
6.4,-26,-21,249,147,106
6.5,-2,4,233,147,106
6.6,-63,-27,206,147,106
6.7,-51,-9,216,147,106
6.8,-49,39,232,147,106
