time,ac_x,ac_y,ac_z,encode1,encode2
115439,5,48,254,39142,289
115612,20,35,273,39142,289
115961,16,165,201,39142,291
116189,21,184,188,39142,291
116568,22,102,242,39142,291
116974,20,29,254,39142,291
117110,25,42,260,39142,291
117493,44,34,258,39142,292
117614,35,34,259,39142,292
117920,13,0,252,39142,292
118204,26,1,258,39142,292
118450,19,41,250,39143,292
118757,35,25,255,39143,292
118864,20,23,260,39143,292
119239,24,22,258,39143,292
119367,32,25,258,39143,292
119741,17,52,267,39143,292
120001,38,118,227,39143,292
120257,46,197,149,39143,292
120558,48,264,-33,39143,292
120808,39,262,-36,39143,292
121071,53,235,-74,39143,292
121296,45,228,-102,39143,292
121685,49,230,-56,39143,292
121842,39,210,-138,39143,292
122194,32,232,-106,39143,292
122500,44,203,-145,39143,292
122708,39,195,-149,39143,292
122999,26,207,-136,39143,292
123349,36,192,-163,39143,292
123484,35,193,-144,39143,292
123837,26,203,-129,39143,292
124146,0,208,-103,39143,292
124417,29,198,-136,39143,292
124665,28,185,-171,39143,292
124963,23,168,-187,39143,292
125168,20,160,-202,39143,292
125475,11,161,-189,39143,292
125780,26,200,-130,39143,292
125984,40,182,-177,39143,292
126310,20,165,-219,39143,292
126611,65,168,-153,39143,292
127054,68,131,-210,39143,292
127420,67,72,-211,39143,293
127733,49,90,-230,39143,293
127791,51,88,-213,39143,293
127889,58,82,-222,39143,293
127933,62,78,-225,39143,293
128134,59,84,-221,39143,293
128237,52,81,-226,39143,293
128429,53,93,-216,39143,293
128758,54,89,-216,39143,293
129057,54,86,-220,39143,293
129210,59,92,-218,39143,293
129574,55,54,-228,39144,293
129737,51,58,-232,39144,293
130121,67,53,-241,39144,293
130263,45,68,-231,39144,293
130591,47,70,-232,39144,293
130798,30,52,-242,39144,293
131104,42,67,-229,39145,294
131299,52,47,-232,39145,294
131673,50,63,-245,39145,295
131767,59,53,-225,39145,295
132126,46,59,-239,39145,295
132262,38,60,-224,39145,295
132538,85,126,-329,39145,295
132845,74,108,-32,39145,295
133014,-45,226,-174,39145,295
133367,-23,242,61,39145,295
133514,-16,248,70,39145,295
133876,16,222,126,39145,295
134009,2,210,131,39145,295
134395,-24,201,160,39145,295
134516,-23,193,156,39145,295
134797,61,223,122,39145,295
135107,208,172,-122,39145,298
135509,18,221,-40,39145,298
135918,-56,148,114,39145,298
136232,-31,176,189,39145,298
136392,-24,128,233,39145,298
136747,-21,91,239,39145,298
137045,-14,54,250,39145,298
137250,-24,59,253,39145,298
137562,-14,66,254,39145,299
137870,3,152,220,39145,299
138052,6,136,221,39145,299
138380,-12,185,176,39145,299
138685,8,207,158,39145,299
138891,16,186,174,39145,299
139208,23,83,241,39323,299
139506,-3,21,281,39323,299
139807,-31,28,255,39325,299
139959,-59,-19,245,39325,299
140324,-51,8,262,39325,299
140637,-21,3,265,39326,299
140793,-25,34,267,39326,299
141172,-2,-12,256,39326,299
141333,-31,25,236,39326,300
141662,12,-13,257,39326,300
141976,3,-4,273,39326,300
142163,27,-4,258,39327,300
142498,54,62,247,39327,300
142780,48,56,257,39327,300
143003,44,73,251,39327,300
143289,42,68,253,39327,300
143608,49,109,249,39327,300
143986,30,79,256,39327,300
144095,57,44,238,39327,300
144414,2,40,247,39327,300
144733,-34,41,259,39327,300
145043,-19,0,255,39327,300
145160,1,0,268,39327,300
145552,-22,7,258,39327,300
145662,-24,12,262,39327,300
146054,-28,3,258,39327,300
146125,-29,5,259,39327,300
146193,-31,5,260,39327,300
146234,-28,5,260,39327,300
146462,-30,9,261,39327,300
146534,-36,8,258,39327,300
146687,-35,13,258,39327,300
147046,-36,15,258,39327,300
147225,-43,5,256,39327,300
147501,-51,18,245,39327,300
147809,0,-3,248,39327,300
147936,-84,9,255,39327,300
148317,-50,5,256,39327,300
148470,-43,9,271,39327,300
148749,-53,49,250,39327,300
149029,12,-20,258,39327,300
149183,-19,-10,245,39327,305
149540,85,101,209,39327,305
149683,-7,-7,272,39327,305
150048,81,18,243,39327,305
150255,43,26,195,39327,306
150529,28,-105,253,39327,306
150685,511,-366,511,39332,306
151155,67,-5,260,39334,319
151760,-4,18,226,39336,320
152354,49,18,283,39338,320
152830,21,3,261,39338,321
153143,23,4,259,39338,321
153785,-195,39,180,39342,323
153910,-33,47,260,39342,323
154504,20,-18,257,39344,331
155065,28,3,260,39344,331
155378,33,1,262,39344,331
155530,-25,127,316,39344,331
155899,72,46,289,39346,332
156070,55,-7,261,39346,333
156396,37,4,260,39346,333
156713,36,3,260,39346,333
156983,35,4,260,39346,333
157226,34,4,261,39346,333
157532,35,4,260,39346,333
157840,35,4,260,39346,333
157983,37,5,262,39346,333
158342,34,4,261,39346,333
158648,35,3,260,39346,333
158816,34,3,260,39346,333
159166,36,4,259,39346,333
159473,35,4,260,39346,333
159683,35,4,260,39346,333
159979,35,4,259,39346,333
160185,34,6,258,39346,333
160502,35,3,259,39346,333
160811,35,4,260,39346,333
160940,34,2,259,39346,333
161318,34,7,261,39346,333
161462,35,4,260,39346,333
161845,35,4,260,39346,333
161982,32,-6,270,39346,333
162346,33,4,259,39346,333
162482,34,5,259,39346,333
162873,35,3,260,39346,333
162986,35,4,259,39346,333
163365,35,6,259,39346,333
163482,36,3,260,39346,333
163774,34,-1,262,39346,333
164183,36,5,263,39346,333
164593,36,3,260,39346,333
164735,35,4,258,39346,333
165102,36,3,261,39346,333
165236,35,3,259,39346,333
165515,41,0,268,39346,333
165818,35,4,259,39346,333
165983,35,4,260,39346,333
166328,35,3,259,39346,333
166538,34,3,260,39346,333
166841,36,4,261,39346,333
167158,36,5,259,39346,333
167471,34,3,259,39346,333
167610,36,3,258,39346,333
167975,35,6,259,39346,333
168290,35,4,260,39346,333
168434,34,5,259,39346,333
168803,36,4,259,39346,333
169100,36,4,259,39346,333
169263,35,4,259,39346,333
169611,36,4,260,39346,333
169929,35,4,260,39346,333
170087,35,3,259,39346,333
170432,33,4,261,39346,333
170749,36,4,260,39346,333
170908,35,4,261,39346,333
171245,35,4,259,39346,333
171569,35,4,260,39346,333
