time,ACx,ACy,ACz,encoder1,encoder2
0.1,-17,1,241,1717,1707
0.2,-17,1,241,1717,1707
0.3,-18,1,240,1717,1707
0.4,-16,1,241,1717,1707
0.5,-17,1,240,1717,1707
0.6,-18,2,240,1717,1707
0.7,-17,0,240,1717,1707
0.8,-17,1,239,1717,1707
0.9,-17,1,241,1717,1707
1,-17,1,242,1717,1707
1.1,-18,2,240,1717,1707
1.2,-32,29,241,1717,1707
1.3,-21,-19,236,1717,1707
1.4,-20,7,242,1717,1707
1.5,-30,-52,254,1717,1707
1.6,-11,-63,258,1717,1707
1.7,-17,-69,214,1717,1707
1.8,11,-32,246,1719,1709
1.9,13,4,237,1719,1709
2,18,41,219,1719,1709
2.1,-28,-17,238,1721,1711
2.2,-41,10,265,1721,1711
2.3,-10,-21,216,1721,1711
2.4,-56,-8,208,1721,1711
2.5,-26,24,284,1721,1711
2.6,0,47,233,1721,1711
2.7,-3,49,239,1721,1711
2.8,-19,-2,245,1721,1711
2.9,-8,10,242,1721,1711
3,-5,40,247,1721,1711
3.1,-11,43,232,1721,1711
3.2,-35,11,227,1721,1711
3.3,3,-4,221,1723,1713
3.4,-27,-3,238,1723,1713
3.5,0,-50,253,1723,1713
3.6,-19,-40,238,1723,1713
3.7,-15,15,240,1723,1713
3.8,3,-11,243,1723,1713
3.9,-34,11,257,1723,1713
4,5,-26,243,1723,1713
4.1,20,5,241,1723,1713
4.2,-15,-19,239,1723,1713
4.3,-60,13,235,1723,1713
4.4,-16,11,245,1723,1713
4.5,-48,-14,252,1723,1713
4.6,-20,-5,246,1723,1713
4.7,11,-12,221,1724,1714
4.8,-29,-29,240,1724,1714
4.9,-17,21,262,1724,1714
5,-10,-36,250,1724,1714
5.1,-51,-24,160,1724,1714
5.2,-28,16,216,1724,1714
5.3,-5,13,259,1724,1714
5.4,42,18,203,1724,1714
5.5,-31,111,255,1724,1714
5.6,-26,3,239,1724,1714
5.7,-5,-27,238,1724,1714
5.8,-21,20,243,1724,1714
5.9,5,77,219,1724,1714
6,-45,5,208,1724,1714
6.1,-1,3,237,1724,1714
6.2,-20,20,241,1724,1714
6.3,19,3,235,1724,1714
6.4,-92,71,277,1724,1714
6.5,6,-48,217,1724,1714
6.6,-33,2,246,1724,1714
6.7,-65,40,189,1724,1714
6.8,-100,3,187,1724,1714
6.9,24,-62,402,1725,1715
7,-19,23,238,1725,1715
7.1,0,17,195,1725,1715
7.2,27,18,193,1725,1715
7.3,-48,-94,238,1725,1715
7.4,-10,-37,203,1725,1715
7.5,-56,20,224,1725,1715
7.6,-13,28,236,1725,1715
7.7,16,114,274,1725,1715
7.8,-44,-39,201,1725,1715
7.9,-6,28,235,1725,1715
8,-87,125,266,1725,1715
8.1,-23,44,263,1725,1715
8.2,-26,6,246,1725,1715
8.3,-14,-7,234,1725,1715
8.4,-33,-36,237,1725,1715
8.5,-30,51,250,1725,1715
8.6,-15,69,244,1725,1715
8.7,-25,22,236,1725,1715
8.8,-27,-24,242,1725,1715
8.9,-35,-87,220,1725,1715
9,-23,20,254,1725,1715
9.1,-25,0,233,1725,1715
9.2,-15,-35,242,1725,1715
9.3,-2,65,232,1725,1715
9.4,-8,6,244,1725,1715
9.5,-16,-52,229,1725,1715
9.6,-21,-65,233,1725,1715
9.7,-9,-82,244,1725,1715
9.8,13,81,225,1725,1715
9.9,-18,-4,242,1725,1715
10,-12,5,240,1725,1715
10.1,-20,-10,241,1725,1715
10.2,-20,-10,242,1725,1715
10.3,-1,53,231,1725,1715
10.4,-14,3,243,1725,1715
10.5,-16,3,243,1725,1715
10.6,-10,10,243,1725,1715
10.7,-8,4,240,1725,1715
10.8,-8,3,239,1725,1715
10.9,-9,35,237,1725,1715
11,-23,-4,242,1725,1715
11.1,-27,-8,239,1725,1715
11.2,32,7,216,1725,1715
11.3,8,-39,245,1725,1715
11.4,-9,4,245,1725,1715
11.5,42,45,237,1725,1715
11.6,-10,49,232,1725,1715
11.7,-72,63,222,1725,1715
11.8,-15,-21,269,1725,1715
11.9,-22,-51,247,1727,1717
12,-17,-13,230,1727,1717
12.1,-25,36,239,1727,1717
12.2,-20,33,235,1727,1717
12.3,-19,-5,232,1727,1717
12.4,-23,-70,240,1727,1717
12.5,-18,-50,241,1727,1717
12.6,-21,-87,225,1727,1717
12.7,-5,-30,268,1727,1717
12.8,-12,51,245,1727,1717
12.9,-14,-6,241,1728,1718
13,17,83,311,1728,1718
13.1,4,85,233,1728,1718
13.2,-10,48,209,1728,1718
13.3,4,14,236,1728,1718
13.4,2,17,250,1728,1718
13.5,27,33,221,1728,1718
13.6,20,5,268,1728,1718
13.7,-75,-24,240,1728,1718
13.8,1,11,250,1728,1718
13.9,15,-4,246,1729,1719
14,-14,-2,247,1729,1719
14.1,-39,-59,241,1729,1719
14.2,-11,21,224,1730,1720
14.3,-11,56,233,1730,1720
14.4,19,65,238,1730,1720
14.5,-5,-8,242,1730,1720
14.6,-45,-99,185,1730,1720
14.7,-15,20,235,1730,1720
14.8,-42,0,257,1730,1720
14.9,-45,3,248,1730,1720
15,-8,-22,241,1730,1720
15.1,-5,-26,261,1730,1720
15.2,-3,-34,226,1730,1720
15.3,-19,13,206,1733,1723
15.4,-22,-6,220,1733,1723
15.5,-43,18,249,1733,1723
15.6,-38,-1,216,1733,1723
15.7,-10,34,220,1735,1725
15.8,-28,24,250,1735,1725
15.9,-41,11,226,1735,1725
16,-9,50,256,1735,1725
16.1,7,77,241,1735,1725
16.2,-9,31,240,1736,1726
16.3,-24,36,249,1736,1726
16.4,3,68,242,1736,1726
16.5,-7,24,201,1736,1726
16.6,-41,46,158,1736,1726
16.7,-39,45,275,1737,1727
16.8,-55,-10,194,1737,1727
16.9,14,3,279,1737,1727
17,-9,55,231,1738,1728
17.1,-8,-57,261,1738,1728
17.2,6,-34,254,1738,1728
17.3,-25,-56,230,1739,1729
17.4,-21,-61,237,1739,1729
17.5,-16,3,244,1739,1729
17.6,-28,-27,240,1739,1729
17.7,-36,5,255,1739,1729
17.8,-2,55,257,1740,1730
17.9,5,27,229,1740,1730
18,-5,30,242,1740,1730
18.1,-11,-10,238,1740,1730
18.2,-14,36,243,1740,1730
18.3,-10,5,240,1740,1730
18.4,-12,7,244,1740,1730
18.5,-12,-1,239,1740,1730
18.6,-14,-2,240,1740,1730
18.7,-11,-34,240,1740,1730
18.8,-43,-63,221,1740,1730
18.9,-44,-23,265,1740,1730
19,-16,-29,258,1742,1732
19.1,34,1,165,1742,1732
19.2,5,-26,209,1742,1732
19.3,-16,-13,241,1742,1732
19.4,-72,-12,234,1742,1732
19.5,19,1,193,1742,1732
19.6,5,-104,129,1744,1734
19.7,-32,102,304,1744,1734
19.8,-20,18,228,1744,1734
19.9,-1,46,265,1744,1734
20,-46,105,238,1744,1734
20.1,-21,40,243,1744,1734
20.2,-18,83,235,1744,1734
20.3,-13,84,261,1744,1734
20.4,-58,63,249,1745,1735
20.5,-41,24,199,1745,1735
20.6,37,10,264,1747,1737
20.7,-47,0,291,1747,1737
20.8,31,-36,287,1749,1739
20.9,-31,-38,297,1749,1739
21,-61,-8,228,1749,1739
21.1,-15,-22,254,1751,1741
21.2,-36,-21,239,1751,1741
21.3,-29,-105,233,1751,1741
21.4,-28,-87,243,1751,1741
21.5,-25,-97,210,1751,1741
21.6,2,5,311,1752,1742
21.7,-42,17,228,1752,1742
21.8,-75,14,228,1753,1743
21.9,-31,53,252,1753,1743
22,-23,22,195,1753,1743
22.1,-30,80,238,1753,1743
22.2,-28,55,232,1753,1743
22.3,-19,46,240,1753,1743
22.4,-33,69,236,1753,1743
22.5,-21,50,242,1753,1743
22.6,-19,61,234,1753,1743
22.7,-17,21,240,1753,1743
22.8,-14,14,249,1753,1743
22.9,-22,18,255,1753,1743
23,-61,13,251,1754,1744
23.1,-11,-10,252,1754,1744
23.2,-49,8,234,1754,1744
23.3,-6,6,247,1754,1744
23.4,-32,16,237,1754,1744
23.5,-13,13,238,1754,1744
23.6,-30,-5,224,1754,1744
23.7,-19,-57,236,1754,1744
23.8,-22,-58,238,1754,1744
23.9,-26,-19,241,1754,1744
24,-13,-11,242,1754,1744
24.1,-22,12,242,1754,1744
24.2,-14,1,234,1754,1744
24.3,-26,-19,239,1754,1744
24.4,-9,-24,277,1754,1744
24.5,-17,-24,239,1754,1744
24.6,7,-34,218,1754,1744
24.7,-20,25,248,1754,1744
24.8,-28,19,234,1754,1744
24.9,4,49,238,1754,1744
25,-27,67,223,1754,1744
25.1,-11,65,243,1754,1744
25.2,-16,37,238,1754,1744
25.3,-6,19,241,1754,1744
25.4,-3,15,235,1754,1744
25.5,-18,2,243,1754,1744
25.6,-25,34,239,1754,1744
25.7,-29,53,240,1754,1744
25.8,-30,27,236,1754,1744
25.9,-13,33,207,1754,1744
26,-45,20,259,1754,1744
26.1,-42,-3,271,1754,1744
26.2,-31,-6,250,1754,1744
26.3,-21,-27,227,1754,1744
26.4,-12,2,225,1754,1744
26.5,-20,-11,246,1754,1744
26.6,-16,16,259,1754,1744
26.7,-25,-5,250,1754,1744
26.8,-21,-37,249,1754,1744
26.9,-22,-12,244,1754,1744
27,-18,0,240,1754,1744
27.1,-18,6,240,1754,1744
27.2,-17,7,242,1754,1744
27.3,-23,12,241,1754,1744
27.4,-13,-41,239,1754,1744
27.5,-7,-98,235,1754,1744
27.6,-49,-68,226,1754,1744
27.7,13,-6,249,1754,1744
27.8,-29,-23,200,1754,1744
27.9,-37,-7,186,1754,1744
28,-14,14,202,1754,1744
