time,ACx,ACy,ACz,encoder1,encoder2
987151,29,6,259,4,6371
987252,30,5,260,4,6371
987567,29,7,260,4,6374
988075,29,6,259,4,6376
988424,30,6,259,4,6377
988899,28,6,259,4,6378
989132,29,6,259,4,6379
989434,29,6,259,4,6380
989740,30,8,260,4,6380
990131,28,5,262,4,6381
990232,28,5,260,4,6381
990556,30,6,260,4,6382
990964,29,6,263,4,6383
991379,28,7,260,4,6383
991686,31,6,262,4,6383
991853,30,4,260,4,6384
992198,30,4,261,4,6389
992508,28,7,261,4,6390
992712,30,4,260,4,6391
993020,29,6,260,4,6391
993425,28,3,262,4,6393
993835,29,6,260,4,6396
994244,28,5,256,4,6399
994655,29,7,261,4,6399
994872,29,5,259,4,6401
995172,29,6,260,4,6402
995580,29,6,260,4,6403
996084,30,7,260,4,6404
996500,28,6,260,4,6407
996626,29,6,260,4,6407
996968,28,3,260,4,6408
997210,30,6,258,4,6410
997443,28,6,259,4,6411
997727,29,4,260,4,6411
997877,30,5,260,4,6414
998236,30,7,261,4,6415
998474,28,6,261,4,6415
998749,29,6,260,4,6416
998979,29,6,262,4,6416
999259,29,5,265,4,6416
999409,28,5,261,4,6416
999772,29,4,261,4,6419
999901,29,5,260,4,6420
1000183,29,5,261,4,6420
1000495,30,5,261,4,6420
1000796,29,7,258,4,6420
1001034,28,7,261,4,6421
1001313,29,6,261,4,6421
1001615,29,5,260,4,6424
1001926,29,5,261,4,6425
1002106,27,6,261,4,6427
1002437,29,6,260,4,6427
1002752,28,7,259,4,6430
1002902,29,5,259,4,6430
1003254,30,6,261,4,6431
1003561,30,5,262,4,6431
1003810,29,8,260,4,6431
1004076,29,6,260,4,6432
1004381,29,5,260,4,6433
1004631,29,6,262,4,6433
1004904,29,6,261,4,6433
1005212,30,5,260,4,6433
1005453,28,6,260,4,6433
1005760,29,6,259,4,6433
1006021,29,6,261,4,6433
1006276,29,6,260,4,6436
1006530,28,5,259,4,6436
1006841,30,6,262,4,6436
1007145,30,5,259,4,6436
1007451,28,5,260,4,6436
1007577,29,5,260,4,6436
1007962,29,6,260,4,6436
1008173,29,5,259,4,6437
1008475,29,6,259,4,6437
1008783,29,7,259,4,6437
1008989,29,6,259,4,6437
1009298,29,7,260,4,6437
1009602,27,7,260,4,6437
1009810,29,5,262,4,6437
1010115,29,5,261,4,6437
1010421,28,7,261,4,6437
1010550,32,6,259,4,6437
1010933,29,5,260,4,6437
1011080,29,5,263,4,6438
1011446,28,7,260,4,6440
1011654,29,6,259,4,6440
1011958,29,5,260,4,6440
1012163,28,6,259,4,6441
1012469,29,5,260,4,6441
1012750,30,6,259,4,6441
1012984,29,6,260,4,6441
1013300,28,7,263,4,6441
1013441,28,6,261,4,6441
1013698,29,5,262,4,6441
1014096,30,5,260,4,6442
1014519,28,9,259,4,6443
1014804,32,3,261,4,6443
1014926,24,-5,265,4,6444
1015234,27,0,266,4,6444
1015542,44,11,307,4,6444
1015677,36,18,306,4,6444
1016060,33,38,250,4,6444
1016359,31,31,242,4,6444
1016500,35,35,252,4,6444
1016872,44,0,241,4,6444
1017170,17,2,252,4,6444
1017326,45,17,287,4,6444
1017692,36,5,238,4,6444
1017993,18,52,279,4,6444
1018164,32,13,295,4,6444
1018513,28,11,243,4,6444
1018819,1,2,250,4,6445
1018977,35,13,265,4,6445
